index,title,task,level,task+level,design methodology,scope,advancement,TL;DR,path,year,comment
1,Improving Compiler Bug Isolation by Leveraging Large Language Models,bugfix,,,,inner,,"isolating compiler bugs by synthesizing more buggy programs with LLMs, require manual inspect",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/1_Improving_Compiler_Bug_Isolation_by_Leveraging_Large_Language_Models.pdf,2025,"[""compiler_construction""]"
2,HPCTransCompile: An AI Compiler Generated Dataset for High-Performance CUDA Transpilation and LLM Preliminary Exploration,transpilation,CUDA-C-TVM IR,,translator,outer,"bench, know cans and cants","use TVM to generate CUDA-C code pairs without TVM dependency, generating pairs are used to evaluate code translation accuracy/performance",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/2_HPCTransCompile_An_AI_Compiler_Generated_Dataset_for_High-Performance_CUDA_Transpilation_and_LLM_Preliminary_Exploration.pdf,2025,"[""datasets_and_benchmarks"" ""end_to_end/code_translator""]"
3,CompilerGPT: Leveraging Large Language Models for Analyzing and Acting on Compiler Optimization Reports,optimization,C/C++,source code optimization with compiler report,translator,outer,"know cans and cants, better optimization",use LLM as source code optimizer with compiler analysis report as guideline,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/3_CompilerGPT_Leveraging_Large_Language_Models_for_Analyzing_and_Acting_on_Compiler_Optimization_Reports.pdf,2025,[]
4,Compiler Optimization via LLM Reasoning for Efficient Model Serving,optmization,TVM IR,,selector,inner,,"use LLM+MCTS to optimize LLM serving speed within TVM metaschedule framework, LLM only performs as schedule generator",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/4_Compiler_Optimization_via_LLM_Reasoning_for_Efficient_Model_Serving.pdf,2025,[]
5,LEGO-Compiler: Enhancing Neural Compilation Through Translation Composability,transpilation,C-ASM,,translator,inner,"know cans and cants, scalability","skeptualize a framework to use LLM as compiler to translate C code into assembly code with divide-and-conquer translation methodology, stepwise verification",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/5_LEGO-Compiler_Enhancing_Neural_Compilation_Through_Translation_Composability.pdf,2025,"[""end_to_end/compiler"" ""datasets_and_benchmarks"" ""workflow""]"
6,Autocomp: LLM-Driven Code Optimization for Tensor Accelerators,optimization,C-C+Intrinsic,,translator,inner,"better utility, better optimization",optimize GEMM and conv operators into GEMMINI tensor accelerator using LLMs,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/6_Autocomp_LLM-Driven_Code_Optimization_for_Tensor_Accelerators.pdf,2025,"[""end_to_end/code_translator"" ""end_to_end/optimizer""]"
7,A Systematic Literature Review on Neural Code Translation,survey,,,,,,,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/7_A_Systematic_Literature_Review_on_Neural_Code_Translation.pdf,2025,"[""review"" ""end_to_end/code_translator""]"
8,CompileAgent: Automated Real-World Repo-Level Compilation with Tool-Integrated LLM-based Agent System,others,,,selector,outer,"agent, scalability",auto configure and compile a repository-level code using LLM,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/8_CompileAgent_Automated_Real-World_Repo-Level_Compilation_with_Tool-Integrated_LLM-based_Agent_System.pdf,2025,"[""end_to_end/compiler""]"
9,SymRTLO: Enhancing RTL Code Optimization with LLMs and Neuron-Inspired Symbolic Reasoning,optimization,RTL,,translator,inner,"agent, know cans and cants, better optimization",using RAG and symbolic reasoning to optimize RTL code generation with either dataflow or controlflow optimizations,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/9_SymRTLO_Enhancing_RTL_Code_Optimization_with_LLMs_and_Neuron-Inspired_Symbolic_Reasoning.pdf,2025,"[""end_to_end/HLS""]"
10,QiMeng-Xpiler: Transcompiling Tensor Programs for Deep Learning Systems with a Neural-Symbolic Approach,transpilation,CUDA/BANG/C,,translator,outer,"better optimization, better utility",transcompile CUDA/BANG/VNNI C on NV/AMD/Intel/Cambricon devices with LLM translator and stepwise verification,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/10_QiMeng-Xpiler_Transcompiling_Tensor_Programs_for_Deep_Learning_Systems_with_a_Neural-Symbolic_Approach.pdf,2025,
11,CompilerDream: Learning a Compiler World Model for General Code Optimization,optimization,LLVM IR,,selector,inner,"better optimization, agent",create a RL-env and a value-based agent for compiler pass optimization ,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/11_CompilerDream_Learning_a_Compiler_World_Model_for_General_Code_Optimization.pdf,2025,
12,ECO: An LLM-Driven Efficient Code Optimizer for Warehouse Scale Computers,optmization,code snippet,,translator,outer,copilot,KDD25; a code optimization candidates management and auto-suggestion system (in a copilot way),/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/12_ECO_An_LLM-Driven_Efficient_Code_Optimizer_for_Warehouse_Scale_Computers.pdf,2025,"[""end_to_end/optimizer""]"
13,Can Large Language Models Understand Intermediate Representations in Compilers?,transpilation,LLVM IR,,translator,inner,know cans and cants,"ICML25; a study on LLMs on LLVM IR capability (CFG construction, IR decompilation, IR summarization and Execution Reasoning)",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/13_Can_Large_Language_Models_Understand_Intermediate_Representations_in_Compilers.pdf,2025,
14,Finding Missed Code Size Optimizations in Compilers using LLMs,optimization,source code,,translator,,better utility,"CC 25; a LLM-based compiler code differential testing tool, a source code generator",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/14_Finding_Missed_Code_Size_Optimizations_in_Compilers_using_LLMs.pdf,2024,
15,Towards LLM-based optimization compilers. Can LLMs learn how to apply a single peephole optimization? Reasoning is all LLMs need!,optimization,assembly,assembly peephole optimization,translator,inner,know cans and cants,test non-reasoning LLMs and reasoning LLMs on assembly peephole optimization task,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/15_Towards_LLM-based_optimization_compilers._Can_LLMs_learn_how_to_apply_a_single_peephole_optimization_Reasoning_is_all_LLMs_need!.pdf,2024,
16,A test-free semantic mistakes localization framework in Neural Code Translation,bugfix,code snippet,,translaor,outer,better utility,a neural translation bug locator combining static analysis and LLM ,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/16_A_test-free_semantic_mistakes_localization_framework_in_Neural_Code_Translation.pdf,2024,
17,Search-Based LLMs for Code Optimization,optimization,python/c++,,translator,outer,better optimization,use optimization-db retrieval and evolutionary optimization(with CoT) to optimize code snippet ,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/17_Search-Based_LLMs_for_Code_Optimization.pdf,2024,
19,Evaluating the Capability of LLMs in Identifying Compilation Errors in Configurable Systems,bugfix,C/C++/Java,,translator,outer,know cans and cants,"testing LLMs capability to identify compilation errors in configurable systems(macro definition, etc)",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/19_Evaluating_the_Capability_of_LLMs_in_Identifying_Compilation_Errors_in_Configurable_Systems.pdf,2024,
20,Algorithmic Language Models with Neurally Compiled Libraries,transpilation,asm->nn,,translator,inner,know cans and cants,testing neural compilation(program->nn) with algorithm like calculator and sort with preliminary studies,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/20_Algorithmic_Language_Models_with_Neurally_Compiled_Libraries.pdf,2025,
21,Meta Large Language Model Compiler: Foundation Models of Compiler Optimization,optimization,"IR, assembly",,translator,inner,"know cans and cants, better optimization","a foundation model for IR optimization and asm-IR decompilation, specifically on code size reduction",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/21_Meta_Large_Language_Model_Compiler_Foundation_Models_of_Compiler_Optimization.pdf,2024,
22,Should AI Optimize Your Code? A Comparative Study of Classical Optimizing Compilers Versus Current Large Language Models,optimization,C+OpenMP,,translator,outer,know cans and cants,propose a new benchmark PCB for LLM-based code optimization and compare with compiler-based optimization,/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/22_Should_AI_Optimize_Your_Code_A_Comparative_Study_of_Classical_Optimizing_Compilers_Versus_Current_Large_Language_Models.pdf,2025,
23,AIOS Compiler: LLM as Interpreter for Natural Language Programming and Flow Programming of AI Agents,transpilation,NL->PL,,translator,outer,know cans and cants,"propose a NL-PL intermediate language CoRE, with natural language frontend and LLM-execution backend",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/23_AIOS_Compiler_LLM_as_Interpreter_for_Natural_Language_Programming_and_Flow_Programming_of_AI_Agents.pdf,2024,
24,An LLM-Tool Compiler for Fused Parallel Function Calling,transpilation,NL->tool call JSON,,translator,outer,"better optimization,better utility","a LLM compiler for function calling and optimized for fused parallel calls, better than plain API call(both InContex and OpenAI Parallel)",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/24_An_LLM-Tool_Compiler_for_Fused_Parallel_Function_Calling.pdf,2024,"[""agent""]"
25,LLMs as Compiler for Arabic Programming Language,transpilation,arabic PL->PL,,translator,outer,better utility,"a LLM compiler for arabic programming language, translating to python",/Users/zhangshuoming/Desktop/THPC-survey-LLMCompiler/phase2_filtered/25_LLMs_as_Compiler_for_Arabic_Programming_Language.pdf,2024,"[""end_to_end/code_translator""]"
